ID1,ID2,lat,long,el
0,43179650,30.893734,-91.240265,60
1,43179651,30.893254,-91.230873,61
2,43179652,30.892773,-91.221481,55
3,43179653,30.892291,-91.212097,46
4,43172364,30.903739,-91.277267,45
5,43172365,30.903264,-91.267883,45
6,43172366,30.902787,-91.258492,45
7,43172367,30.90231,-91.2491,58
8,43172368,30.901831,-91.239708,63
9,43172369,30.901351,-91.230316,60
10,43172370,30.90087,-91.220924,51
11,43172371,30.900388,-91.211533,46
12,43165078,30.913726,-91.314293,73
13,43165079,30.913255,-91.304901,70
14,43165080,30.912784,-91.295509,65
15,43165081,30.912311,-91.28611,45
16,43165082,30.911837,-91.276718,60
17,43165083,30.911362,-91.267326,59
18,43165084,30.910885,-91.257935,45
19,43165085,30.910408,-91.248543,53
20,43165086,30.909929,-91.239151,61
21,43165087,30.909449,-91.229759,61
22,43165088,30.908968,-91.220367,56
23,43165089,30.908486,-91.210976,48
24,43157792,30.923695,-91.351326,69
25,43157793,30.923229,-91.341934,65
26,43157794,30.922762,-91.332535,76
27,43157795,30.922294,-91.323143,70
28,43157796,30.921825,-91.313744,60
29,43157797,30.921354,-91.304352,60
30,43157798,30.920883,-91.29496,60
31,43157799,30.92041,-91.285561,45
32,43157800,30.919936,-91.276169,60
33,43157801,30.91946,-91.266777,60
34,43157802,30.918984,-91.257385,48
35,43157803,30.918506,-91.247986,53
36,43157804,30.918027,-91.238594,62
37,43157805,30.917547,-91.229202,62
38,43157806,30.917066,-91.21981,60
39,43157807,30.916584,-91.210419,50
40,43150509,30.93226,-91.360184,85
41,43150510,30.931795,-91.350784,76
42,43150511,30.931329,-91.341393,91
43,43150512,30.930862,-91.331993,80
44,43150513,30.930394,-91.322601,60
45,43150514,30.929924,-91.313202,76
46,43150515,30.929454,-91.303802,76
47,43150516,30.928982,-91.294411,49
48,43150517,30.928509,-91.285011,60
49,43150518,30.928035,-91.27562,76
50,43150519,30.927559,-91.26622,60
51,43150520,30.927083,-91.256828,52
52,43150521,30.926605,-91.247437,47
53,43150522,30.926126,-91.238037,62
54,43150523,30.925646,-91.228645,66
55,43150524,30.925165,-91.219254,60
56,43150525,30.924682,-91.209854,54
57,43143227,30.94036,-91.359642,64
58,43143228,30.939896,-91.35025,76
59,43143229,30.93943,-91.340851,79
60,43143230,30.938962,-91.331451,76
61,43143231,30.938494,-91.322052,75
62,43143232,30.938025,-91.31266,78
63,43143233,30.937554,-91.303261,67
64,43143234,30.937082,-91.293861,56
65,43143235,30.936609,-91.284462,74
66,43143236,30.936135,-91.27507,60
67,43143237,30.935659,-91.265671,65
68,43143238,30.935182,-91.256271,55
69,43143239,30.934705,-91.24688,45
70,43143240,30.934225,-91.23748,62
71,43143241,30.933745,-91.228088,67
72,43143242,30.933264,-91.218689,61
73,43135946,30.947996,-91.349709,91
74,43135947,30.94753,-91.340309,89
75,43135948,30.947063,-91.33091,81
76,43135949,30.946595,-91.32151,76
77,43135950,30.946125,-91.312111,77
78,43135951,30.945654,-91.302711,61
79,43135952,30.945182,-91.293312,63
80,43135953,30.944709,-91.283913,75
81,43135954,30.944235,-91.274521,72
82,43135955,30.943759,-91.265121,72
83,43135956,30.943282,-91.255722,51
84,43135957,30.942804,-91.246323,46
85,43135958,30.942325,-91.236923,62
86,43135959,30.941845,-91.227531,65
87,43135960,30.941363,-91.218132,60
88,43128664,30.956098,-91.349167,76
89,43128665,30.955632,-91.339767,91
90,43128666,30.955165,-91.330368,85
91,43128667,30.954696,-91.320969,83
92,43128668,30.954226,-91.311569,66
93,43128669,30.953755,-91.302162,63
94,43128670,30.953283,-91.292763,74
95,43128671,30.95281,-91.283363,76
96,43128672,30.952335,-91.273964,76
97,43128673,30.95186,-91.264565,78
98,43128674,30.951383,-91.255165,47
99,43128675,30.950905,-91.245766,60
100,43128676,30.950426,-91.236366,66
101,43128677,30.949945,-91.226967,61
102,43121382,30.9642,-91.348625,91
103,43121383,30.963734,-91.339226,91
104,43121384,30.963266,-91.329826,91
105,43121385,30.962798,-91.320419,76
106,43121386,30.962328,-91.31102,60
107,43121387,30.961857,-91.30162,68
108,43121388,30.961385,-91.292213,75
109,43121389,30.960911,-91.282814,76
110,43121390,30.960437,-91.273415,76
111,43121391,30.959961,-91.264015,76
112,43121392,30.959484,-91.254616,48
113,43121393,30.959006,-91.245216,56
114,43114101,30.971836,-91.338684,79
115,43114102,30.971369,-91.329277,73
116,43114103,30.9709,-91.319878,60
117,43114104,30.97043,-91.310471,64
118,43114105,30.969959,-91.301071,75
119,43114106,30.969487,-91.291672,76
120,43114107,30.969013,-91.282265,86
121,43114108,30.968538,-91.272865,79
122,43114109,30.968062,-91.263458,62
123,43114110,30.967585,-91.254059,54
124,43106819,30.979939,-91.338142,90
125,43106820,30.979471,-91.328735,76
126,43106821,30.979003,-91.319328,60
127,43106822,30.978533,-91.309929,76
128,43106823,30.978061,-91.300522,74
129,43106824,30.977589,-91.291122,91
130,43106825,30.977115,-91.281715,91
131,43106826,30.976641,-91.272308,76
132,43106827,30.976165,-91.262909,67
133,43106828,30.975687,-91.253502,60
134,43099538,30.987575,-91.328194,76
135,43099539,30.987106,-91.318787,71
136,43099540,30.986636,-91.30938,76
137,43099541,30.986164,-91.299973,77
138,43099542,30.985692,-91.290573,91
139,43099543,30.985218,-91.281166,83
140,43099544,30.984743,-91.271759,76
141,43099545,30.984267,-91.262352,70
142,43099546,30.98379,-91.252953,60
143,43092256,30.995679,-91.327652,76
144,43092257,30.99521,-91.318245,73
145,43092258,30.994739,-91.308838,76
146,43092259,30.994268,-91.299431,82
147,43092260,30.993795,-91.290024,91
148,43092261,30.993321,-91.280617,76
149,43092262,30.992846,-91.27121,76
150,43092263,30.99237,-91.261803,74
151,43092264,30.991893,-91.252396,61
152,43092265,30.991414,-91.242989,55
153,43084975,31.003314,-91.317696,76
154,43084976,31.002843,-91.308289,68
155,43084977,31.002372,-91.298882,79
156,43084978,31.001899,-91.289474,91
157,43084979,31.001425,-91.28006,81
158,43084980,31.00095,-91.270653,76
159,43084981,31.000474,-91.261246,74
160,43084982,30.999996,-91.251839,67
161,43084983,30.999518,-91.242432,55
162,43077693,31.011418,-91.317154,76
163,43077694,31.010948,-91.307739,73
164,43077695,31.010476,-91.298332,71
165,43077696,31.010004,-91.288925,76
166,43077697,31.00953,-91.27951,89
167,43077698,31.009054,-91.270103,70
168,43077699,31.008578,-91.260696,76
169,43077700,31.0081,-91.251282,75
170,43077701,31.007622,-91.241875,54
171,43077702,31.007142,-91.232468,79
172,43070412,31.019053,-91.307198,75
173,43070413,31.018581,-91.297783,75
174,43070414,31.018108,-91.288376,74
175,43070415,31.017634,-91.278961,93
176,43070416,31.017159,-91.269554,75
177,43070417,31.016683,-91.260139,86
178,43070418,31.016205,-91.250732,75
179,43070419,31.015726,-91.241318,73
180,43070420,31.015246,-91.231911,89
181,43063130,31.027159,-91.306648,75
182,43063131,31.026687,-91.297234,75
183,43063132,31.026214,-91.287819,74
184,43063133,31.02574,-91.278412,94
185,43063134,31.025264,-91.268997,76
186,43063135,31.024788,-91.259583,88
187,43063136,31.02431,-91.250175,79
188,43063137,31.023831,-91.240761,60
189,43063138,31.023351,-91.231354,91
190,43063139,31.022869,-91.221939,84
191,43055849,31.034793,-91.296684,76
192,43055850,31.03432,-91.28727,75
193,43055851,31.033845,-91.277863,91
194,43055852,31.03337,-91.268448,95
195,43055853,31.032893,-91.259033,88
196,43055854,31.032415,-91.249619,66
197,43055855,31.031936,-91.240204,76
198,43055856,31.031456,-91.230797,77
199,43055857,31.030975,-91.221382,91
200,43048567,31.042899,-91.296135,76
201,43048568,31.042426,-91.28672,90
202,43048569,31.041952,-91.277306,106
203,43048570,31.041476,-91.267891,93
