GCM,GCM_code,Overlap
ACCESS1-0,AC,both
BCC-CSM1-1,BC,BC
CanESM2,,CNA
CCSM4,CC,both
CESM1-CAM5-1-FV2,CE,both
CNRM-CM5,CN,both
CSIRO_Mk3,,CNA
GFDL-CM3,GF,both
GFDL-ESM2G,GD,BC
GISS-E2-R,GS,both
Global Mean,,CNA
HadGEM2-AO,HD,BC
HadGEM2-CC,HG,BC
HadGEM2-ES,HE,both
INMCM4,IN,both
IPSL-CM5A-LR,IP,both
MIROC-ESM-CHEM,MI,BC
MIROC-ESM,MR,both
MIROC5,MC,both
MPI-ESM-LR,MP,both
MRI-CGCM3,MG,both
NorESM1-M,NO,BC
